Date,File Path,Keywords Found
17-January-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/17-January-1985_Lok Sabha Debates.pdf,No keywords found
13-March-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/13-March-1985_Lok Sabha Debates.pdf,No keywords found
15-January-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/15-January-1985_Lok Sabha Debates.pdf,No keywords found
16-January-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/16-January-1985_Lok Sabha Debates.pdf,No keywords found
16-March-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/16-March-1985_Lok Sabha Debates.pdf,No keywords found
29-January-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/29-January-1985_Lok Sabha Debates.pdf,No keywords found
25-January-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/25-January-1985_Lok Sabha Debates.pdf,drugs
24-January-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/24-January-1985_Lok Sabha Debates.pdf,"drugs, sex"
23-March-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/23-March-1985_Lok Sabha Debates.pdf,drugs
22-January-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/22-January-1985_Lok Sabha Debates.pdf,drugs
18-January-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/18-January-1985_Lok Sabha Debates.pdf,No keywords found
23-January-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/23-January-1985_Lok Sabha Debates.pdf,No keywords found
30-January-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/30-January-1985_Lok Sabha Debates.pdf,No keywords found
22-March-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/22-March-1985_Lok Sabha Debates.pdf,No keywords found
18-March-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/18-March-1985_Lok Sabha Debates.pdf,No keywords found
21-January-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/21-January-1985_Lok Sabha Debates.pdf,"drugs, sex"
19-March-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/19-March-1985_Lok Sabha Debates.pdf,drugs
27-March-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/27-March-1985_Lok Sabha Debates.pdf,"drugs, sex"
20-March-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/20-March-1985_Lok Sabha Debates.pdf,drugs
19-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/19-April-1985_Lok Sabha Debates.pdf,No keywords found
21-March-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/21-March-1985_Lok Sabha Debates.pdf,"drugs, sex"
14-March-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/14-March-1985_Lok Sabha Debates.pdf,"drugs, sex"
28-March-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/28-March-1985_Lok Sabha Debates.pdf,drugs
26-March-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/26-March-1985_Lok Sabha Debates.pdf,drugs
15-March-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/15-March-1985_Lok Sabha Debates.pdf,drugs
25-March-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/25-March-1985_Lok Sabha Debates.pdf,No keywords found
29-March-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/29-March-1985_Lok Sabha Debates.pdf,drugs
1-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/1-April-1985_Lok Sabha Debates.pdf,drugs
9-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/9-April-1985_Lok Sabha Debates.pdf,drugs
6-May-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/6-May-1985_Lok Sabha Debates.pdf,No keywords found
15-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/15-April-1985_Lok Sabha Debates.pdf,drugs
11-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/11-April-1985_Lok Sabha Debates.pdf,drugs
16-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/16-April-1985_Lok Sabha Debates.pdf,"drugs, sex"
2-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/2-April-1985_Lok Sabha Debates.pdf,drugs
24-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/24-April-1985_Lok Sabha Debates.pdf,"abortion, sex"
25-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/25-April-1985_Lok Sabha Debates.pdf,drugs
12-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/12-April-1985_Lok Sabha Debates.pdf,drugs
2-May-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/2-May-1985_Lok Sabha Debates.pdf,"drugs, sex"
29-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/29-April-1985_Lok Sabha Debates.pdf,"drugs, sex"
22-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/22-April-1985_Lok Sabha Debates.pdf,"drugs, sex"
23-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/23-April-1985_Lok Sabha Debates.pdf,drugs
18-May-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/18-May-1985_Lok Sabha Debates.pdf,No keywords found
26-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/26-April-1985_Lok Sabha Debates.pdf,No keywords found
17-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/17-April-1985_Lok Sabha Debates.pdf,No keywords found
30-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/30-April-1985_Lok Sabha Debates.pdf,drugs
10-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/10-April-1985_Lok Sabha Debates.pdf,No keywords found
18-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/18-April-1985_Lok Sabha Debates.pdf,drugs
8-April-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/8-April-1985_Lok Sabha Debates.pdf,drugs
3-May-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/3-May-1985_Lok Sabha Debates.pdf,"drugs, sex"
8-May-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/8-May-1985_Lok Sabha Debates.pdf,"abortion, drugs, sex"
20-May-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/20-May-1985_Lok Sabha Debates.pdf,No keywords found
31-July-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/31-July-1985_Lok Sabha Debates.pdf,"drugs, sex"
10-May-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/10-May-1985_Lok Sabha Debates.pdf,"drugs, sex"
9-May-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/9-May-1985_Lok Sabha Debates.pdf,drugs
16-May-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/16-May-1985_Lok Sabha Debates.pdf,"abortion, drugs, sex"
24-July-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/24-July-1985_Lok Sabha Debates.pdf,"abortion, sex"
23-July-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/23-July-1985_Lok Sabha Debates.pdf,drugs
13-May-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/13-May-1985_Lok Sabha Debates.pdf,sex
14-May-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/14-May-1985_Lok Sabha Debates.pdf,drugs
15-May-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/15-May-1985_Lok Sabha Debates.pdf,"drugs, sex"
1-August-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/1-August-1985_Lok Sabha Debates.pdf,drugs
25-July-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/25-July-1985_Lok Sabha Debates.pdf,"drugs, sex"
30-July-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/30-July-1985_Lok Sabha Debates.pdf,drugs
21-August-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/21-August-1985_Lok Sabha Debates.pdf,No keywords found
26-July-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/26-July-1985_Lok Sabha Debates.pdf,"drugs, sex"
29-July-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/29-July-1985_Lok Sabha Debates.pdf,drugs
7-May-1985,/Users/Aaryan/Desktop/Lok Sabha Debates/1985/7-May-1985_Lok Sabha Debates.pdf,"drugs, sex"
